model,model_slug,framework,run_id,run_type,source_format,source_path,database_path,source_exists,has_done_marker,notes,run_days,final_networth,total_sales,avg_daily_sold_skus,return_ratio,expired_ratio,stockout_days,stockout_ratio,tool_days,direct_tool_calls,all_tool_calls,code_tool_calls,memory_tool_calls,avg_direct_tool_calls_per_day,avg_all_tool_calls_per_day,avg_code_tool_calls_per_day,avg_memory_tool_calls_per_day,token_days,input_tokens,output_tokens,total_tokens,cached_prompt_tokens,avg_tokens_per_day,estimated_cost_usd,avg_cost_usd_per_day
Kimi-K2.6,kimi_k26,reflection,run_reflection_kimi-k2.6_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_reflection_kimi-k2.6_caec_off_fcr_off/run_reflection_kimi-k2.6_caec_off_fcr_off_run1,,1,0,,66,5902.325917044702,30783,10.924242424242424,0.11207484650618849,0.00016240093542938807,31,0.4696969696969697,66,3865,8440,4575,77,58.56060606060606,127.87878787878788,69.31818181818181,1.1666666666666667,66,62573322,5148547,67721869,18718976,1026088.9242424242,,
Kimi-K2.6,kimi_k26,plan_and_act,run_plan_and_act_kimi-k2.6_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_plan_and_act_kimi-k2.6_caec_off_fcr_off/run_plan_and_act_kimi-k2.6_caec_off_fcr_off_run1,,1,1,,89,-1996.520151287581,48955,12.134831460674157,0.09114492901644368,0.00159076540289193,58,0.651685393258427,89,2360,4102,1742,25,26.51685393258427,46.08988764044944,19.573033707865168,0.2808988764044944,88,40527212,3925973,44453185,11710080,505149.82954545453,,
Qwen3.5-397B-A17B,qwen35_397b_a17b,react,run_react_qwen3.5-397b-a17b_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_react_qwen3.5-397b-a17b_caec_off_fcr_off/run_react_qwen3.5-397b-a17b_caec_off_fcr_off_run1,,1,1,,50,6125.562362263078,32874,26.18,0.09679381882338627,0.034480733082706765,34,0.68,50,1367,3620,2253,2,27.34,72.4,45.06,0.04,49,48392580,2282216,50674796,0,1034179.5102040817,,
Qwen3.5-397B-A17B,qwen35_397b_a17b,reflection,run_reflection_qwen3.5-397b-a17b_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_reflection_qwen3.5-397b-a17b_caec_off_fcr_off/run_reflection_qwen3.5-397b-a17b_caec_off_fcr_off_run1,,1,1,,71,1183.1738290225394,35622,26.169014084507044,0.10471057211835383,0.06550539101235604,48,0.676056338028169,71,1411,3533,2122,8,19.87323943661972,49.76056338028169,29.887323943661972,0.11267605633802817,70,46066473,1960745,48027218,0,686103.1142857143,,
Qwen3.5-397B-A17B,qwen35_397b_a17b,plan_and_act,run_plan_and_act_qwen3.5-397b-a17b_caec_off_fcr_off_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_final_hard_v2/hard_v2_all_2026-05-20_19-39-54_plan_and_act_qwen3.5-397b-a17b_caec_off_fcr_off/run_plan_and_act_qwen3.5-397b-a17b_caec_off_fcr_off_run1,,1,1,,50,3820.587095440168,30074,23.22,0.11704462326261887,0.10549953897861455,29,0.58,50,1415,3160,1745,7,28.3,63.2,34.9,0.14,49,44371799,1661701,46033500,0,939459.1836734693,,
Grok-4.3,grok_43,react,run_react_x-ai_grok-4.3_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_grok43_hard_v2/rb_hard_v2_react_grok43_flex_20260520_205350/hard_v2_react_grok43_flex_20260520_205350/run_react_x-ai_grok-4.3_run1,,1,0,,58,828.3989357764223,11305,6.741379310344827,0.10278637770897833,0.057681086938401266,24,0.41379310344827586,58,551,601,50,2,9.5,10.362068965517242,0.8620689655172413,0.034482758620689655,57,8054466,186714,8241180,2704256,144582.1052631579,,
Grok-4.3,grok_43,reflection,run_reflection_x-ai_grok-4.3_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_grok43_hard_v2/rb_hard_v2_reflection_grok43_flex_20260521_010337/hard_v2_reflection_grok43_flex_20260521_010337/run_reflection_x-ai_grok-4.3_run1,,1,0,,51,787.66533565089,20907,11.72549019607843,0.12861720954704167,0.17350569259962048,18,0.35294117647058826,51,592,651,59,1,11.607843137254902,12.764705882352942,1.1568627450980393,0.0196078431372549,50,8594945,207338,8802283,2036352,176045.66,,
Grok-4.3,grok_43,plan_and_act,run_plan_and_act_x-ai_grok-4.3_run1,llm,tool_calls,<EXTERNAL_LOG_ROOT>/batches_grok43_hard_v2/rb_hard_v2_plan_and_act_grok43_flex_20260521_010337/hard_v2_plan_and_act_grok43_flex_20260521_010337/run_plan_and_act_x-ai_grok-4.3_run1,,1,0,,12,22989.164189187213,372,1.6666666666666667,0.053763440860215055,0.0,5,0.4166666666666667,12,267,278,11,0,22.25,23.166666666666668,0.9166666666666666,0.0,11,4899533,126881,5026414,1277568,456946.7272727273,,
GPT-5.5,gpt_55,react,run_react_gpt55_hard_v2_20260521_110407,llm,tool_calls,<EXTERNAL_LOG_ROOT>/openai_gpt55_react/run_react_gpt55_hard_v2_20260521_110407,,1,0,,180,24350.984977843673,136405,32.272222222222226,0.0645504197060225,0.011335879799085301,137,0.7611111111111111,180,3076,19235,16159,250,17.08888888888889,106.86111111111111,89.77222222222223,1.3888888888888888,180,29884905,1841907,31726812,14973696,176260.06666666668,,
Non-LLM Heuristic,non_llm_heuristic,quality_based,non_llm_hard_v2_sku2_bulk6_180_20260524,non_llm,tool_calls,<RETAILBENCH_ROOT>/paper_submit_data/raw_runs/non_llm_heuristic,<RETAILBENCH_ROOT>/paper_submit_data/raw_runs/non_llm_heuristic/db/records.db,1,0,"Manual quality-based heuristic policy on hard_v2 for 180 days; tuned to sample_size=2 and bulk_qty_multiplier=6 from the 2026-05-24 SKU2 parameter search; approximate oracle-style reference, not a fair LLM-agent baseline.",180,131510.4154848198,267998,34.483333333333334,0.020134478615512055,0.005857324623391461,122,0.6777777777777778,180,25459,25459,0,0,141.4388888888889,141.4388888888889,0.0,0.0,0,0,0,0,0,,,
